"","parque","idade","sexo","escolar","renda","infraestrutura","sombra","temperatura","lance1","lance2","resp1","resp2"
"1","sitio da trindade",50,1,1,62000,0,1,1,31,48,"1","0"
"2","sitio da trindade",35,1,1,17000,0,1,1,4,66,"1","0"
"3","sitio da trindade",50,1,1,16000,1,1,1,9,21,"1","1"
"4","sitio da trindade",67,0,1,15000,0,0,0,45,70,"1","0"
"5","sitio da trindade",41,1,1,15000,0,1,1,2,14,"1","1"
"6","sitio da trindade",31,0,1,15000,1,1,1,29,48,"1","0"
"7","sitio da trindade",47,1,1,13500,0,1,1,10,13,"1","0"
"8","sitio da trindade",30,0,1,13000,1,1,1,41,70,"1","0"
"9","sitio da trindade",62,1,1,12000,0,1,1,4,44,"1","0"
"10","sitio da trindade",41,1,1,11000,0,1,0,17,58,"1","0"
"11","sitio da trindade",39,0,0,11000,0,0,1,3,53,"1","0"
"12","sitio da trindade",80,1,1,10000,0,0,0,45,8,"0","1"
"13","sitio da trindade",68,1,1,10000,0,0,0,69,34,"0","1"
"14","sitio da trindade",66,1,1,10000,0,0,0,61,37,"0","0"
"15","sitio da trindade",46,1,1,10000,0,1,1,38,61,"1","0"
"16","sitio da trindade",40,0,1,10000,0,1,1,1,55,"1","0"
"17","sitio da trindade",38,0,1,10000,0,0,0,20,28,"1","0"
"18","sitio da trindade",34,0,1,10000,0,1,0,4,24,"1","0"
"19","sitio da trindade",61,0,1,8000,1,1,1,62,10,"0","0"
"20","sitio da trindade",59,0,1,8000,0,1,0,39,69,"1","0"
"21","sitio da trindade",49,1,1,8000,1,1,1,3,10,"1","1"
"22","sitio da trindade",39,1,1,8000,0,1,1,59,70,"1","0"
"23","sitio da trindade",36,1,1,7500,1,1,1,36,65,"1","0"
"24","sitio da trindade",35,1,1,7000,0,1,1,2,66,"1","0"
"25","sitio da trindade",33,0,1,7000,0,1,0,28,61,"1","0"
"26","sitio da trindade",33,1,1,6500,0,1,1,43,64,"1","1"
"27","sitio da trindade",39,1,1,6000,0,1,1,3,34,"1","0"
"28","sitio da trindade",33,1,1,6000,0,0,0,47,50,"1","0"
"29","sitio da trindade",39,0,1,5000,0,1,0,39,70,"1","0"
"30","sitio da trindade",30,1,1,5000,0,1,1,8,13,"1","1"
"31","sitio da trindade",35,1,0,4500,1,0,0,68,51,"0","0"
"32","sitio da trindade",33,0,1,4491,1,1,1,10,15,"1","1"
"33","sitio da trindade",50,1,1,4000,1,1,0,21,61,"1","0"
"34","sitio da trindade",30,0,1,4000,1,1,1,16,41,"1","0"
