"","resp1","resp2","lance1","lance2","idade","sexo","escolar","infraestrutura","temperatura","renda","objetivo"
"1",1,0,31,48,50,1,20,2,4,62000,4
"2",1,0,4,66,35,1,20,3,4,17000,4
"3",1,1,9,21,50,1,20,5,5,16000,3
"4",1,0,45,70,67,2,22,3,2,15000,3
"5",1,1,2,14,41,1,20,3,4,15000,4
"6",1,0,29,48,31,2,20,5,5,15000,4
"7",1,0,10,13,47,1,26,2,4,13500,3
"8",1,0,41,70,30,2,20,5,5,13000,3
"9",1,0,4,44,62,1,20,3,5,12000,2
"10",1,0,17,58,41,1,26,3,2,11000,4
"11",1,0,3,53,39,2,16,1,4,11000,4
"12",0,1,45,8,80,1,22,1,3,10000,3
"13",0,1,69,34,68,1,26,2,1,10000,3
"14",0,0,61,37,66,1,22,3,2,10000,3
"15",1,0,38,61,46,1,20,3,5,10000,2
"16",1,0,1,55,40,2,20,3,4,10000,4
"17",1,0,20,28,38,2,20,3,2,10000,4
"18",1,0,4,24,34,2,20,3,3,10000,4
"19",0,0,62,10,61,2,20,5,5,8000,3
"20",1,0,39,69,59,2,20,2,2,8000,3
"21",1,1,3,10,49,1,22,4,4,8000,3
"22",1,0,59,70,39,1,20,3,5,8000,2
"23",1,0,36,65,36,1,20,4,5,7500,4
"24",1,0,2,66,35,1,20,3,5,7000,3
"25",1,0,28,61,33,2,20,3,3,7000,3
"26",1,1,43,64,33,1,20,3,5,6500,3
"27",1,0,3,34,39,1,20,2,5,6000,3
"28",1,0,47,50,33,1,22,3,2,6000,3
"29",1,0,39,70,39,2,20,3,3,5000,3
"30",1,1,8,13,30,1,20,3,5,5000,3
"31",0,0,68,51,35,1,16,4,3,4500,2
"32",1,1,10,15,33,2,20,4,5,4491,2
"33",1,0,21,61,50,1,20,4,3,4000,3
"34",1,0,16,41,30,2,20,5,4,4000,3
"35",0,0,20,7,40,1,20,2,4,3992,4
"36",1,0,13,42,28,1,20,3,4,3500,3
"37",1,0,5,45,62,1,16,3,5,3000,4
"38",1,1,14,26,41,2,15,1,2,3000,3
"39",1,0,27,69,37,2,20,5,5,3000,3
"40",1,0,8,46,36,2,20,3,4,3000,4
"41",1,0,11,32,31,2,20,3,5,3000,3
"42",1,0,24,30,26,2,22,2,1,3000,3
