ID;parque;idade;sexo;cidade;estadocivil;escolar;ocupacao;renda;qdepend;objetivo;freqvis;infraestrutura;tamanho;sombra;temperatura;lance1;resp1;lance2;resp2;bidl;bidh
1;sitio da trindade;50;1;recife;2;20;3;62000;2;4;2;2;4;5;4;31;1;48;0;6;48
2;sitio da trindade;35;1;recife;2;20;3;17000;3;4;3;3;4;4;4;4;1;66;0;2;66
3;sitio da trindade;50;1;recife;2;20;2;16000;0;3;10;5;5;5;5;9;1;21;1;3;21
4;sitio da trindade;67;2;recife;3;22;2;15000;0;3;16;3;2;1;2;45;1;70;0;7;70
5;sitio da trindade;41;1;recife;2;20;7;15000;3;4;1;3;4;5;4;2;1;14;1;1;14
6;sitio da trindade;31;2;recife;2;20;3;15000;1;4;1;5;5;5;5;29;1;48;0;5;48
7;sitio da trindade;47;1;recife;2;26;2;13500;1;3;8;2;4;4;4;10;1;13;0;3;13
8;sitio da trindade;30;2;recife;1;20;3;13000;0;3;6;5;4;5;5;41;1;70;0;6;70
9;sitio da trindade;62;1;recife;2;20;3;12000;2;2;20;3;4;5;5;4;1;44;0;2;44
10;sitio da trindade;41;1;recife;2;26;2;11000;2;4;3;3;5;5;2;17;1;58;0;4;58
11;sitio da trindade;39;2;recife;1;16;2;11000;2;4;1;1;4;3;4;3;1;53;0;2;53
12;sitio da trindade;80;1;recife;2;22;6;10000;0;3;20;1;2;3;3;45;0;8;1;8;60
13;sitio da trindade;68;1;recife;2;26;1;10000;1;3;15;2;3;1;1;69;0;34;1;34;27
14;sitio da trindade;66;1;recife;2;22;3;10000;3;3;4;3;1;2;2;61;0;37;0;37;32
15;sitio da trindade;46;1;recife;2;20;3;10000;1;2;4;3;5;5;5;38;1;61;0;6;61
16;sitio da trindade;40;2;recife;2;20;4;10000;1;4;1;3;4;5;4;1;1;55;0;1;55
17;sitio da trindade;38;2;recife;2;20;3;10000;2;4;3;3;2;2;2;20;1;28;0;4;28
18;sitio da trindade;34;2;recife;2;20;3;10000;3;4;2;3;3;5;3;4;1;24;0;2;24
19;sitio da trindade;61;2;recife;2;20;3;8000;0;3;10;5;5;5;5;62;0;10;0;10;48
20;sitio da trindade;59;2;recife;2;20;4;8000;1;3;20;2;3;5;2;39;1;69;0;6;69
21;sitio da trindade;49;1;recife;2;22;3;8000;1;3;10;4;5;5;4;3;1;10;1;2;10
22;sitio da trindade;39;1;recife;2;20;3;8000;2;2;10;3;4;5;5;59;1;70;0;8;70
23;sitio da trindade;36;1;recife;2;20;2;7500;1;4;2;4;5;5;5;36;1;65;0;6;65
24;sitio da trindade;35;1;recife;2;20;2;7000;2;3;7;3;4;5;5;2;1;66;0;1;66
25;sitio da trindade;33;2;recife;3;20;2;7000;2;3;10;3;3;4;3;28;1;61;0;5;61
26;sitio da trindade;33;1;recife;1;20;3;6500;1;3;9;3;5;5;5;43;1;64;1;7;64
27;sitio da trindade;39;1;recife;3;20;3;6000;0;3;10;2;4;4;5;3;1;34;0;2;34
28;sitio da trindade;33;1;recife;1;22;1;6000;0;3;10;3;2;1;2;47;1;50;0;7;50
29;sitio da trindade;39;2;recife;1;20;2;5000;0;3;20;3;4;4;3;39;1;70;0;6;70
30;sitio da trindade;30;1;recife;2;20;3;5000;1;3;8;3;5;5;5;8;1;13;1;3;13
31;sitio da trindade;35;1;jaboatao;1;16;5;4500;1;2;5;4;4;3;3;68;0;51;0;51;14
32;sitio da trindade;33;2;recife;2;20;2;4491;1;2;5;4;4;4;5;10;1;15;1;3;15
33;sitio da trindade;50;1;recife;2;20;3;4000;1;3;7;4;5;5;3;21;1;61;0;5;61
34;sitio da trindade;30;2;recife;2;20;2;4000;0;3;4;5;3;5;4;16;1;41;0;4;41
35;sitio da trindade;40;1;recife;2;20;1;3992;3;4;15;2;4;4;4;20;0;7;0;7;17
36;sitio da trindade;28;1;recife;2;20;3;3500;1;3;9;3;4;5;4;13;1;42;0;4;42
37;sitio da trindade;62;1;recife;3;16;3;3000;1;4;20;3;5;5;5;5;1;45;0;2;45
38;sitio da trindade;41;2;recife;2;15;2;3000;1;3;15;1;1;1;2;14;1;26;1;4;26
39;sitio da trindade;37;2;recife;2;20;2;3000;0;3;15;5;5;5;5;27;1;69;0;5;69
40;sitio da trindade;36;2;recife;1;20;2;3000;1;4;1;3;5;4;4;8;1;46;0;3;46
41;sitio da trindade;31;2;recife;1;20;6;3000;0;3;15;3;4;5;5;11;1;32;0;3;32
42;sitio da trindade;26;2;recife;1;22;6;3000;0;3;2;2;2;1;1;24;1;30;0;5;30
43;sitio da trindade;42;2;recife;1;22;1;2800;2;3;6;4;2;1;2;19;1;21;0;4;21
44;sitio da trindade;54;1;recife;2;22;1;2500;0;3;1;2;1;1;1;28;0;3;0;3;24
45;sitio da trindade;51;1;recife;1;20;2;2500;1;3;10;4;4;5;4;32;0;31;0;31;32
46;sitio da trindade;32;1;recife;2;16;6;2500;1;3;20;4;4;4;4;20;1;23;1;4;23
47;sitio da trindade;34;1;recife;1;4;3;2300;2;3;4;2;2;2;2;70;0;57;0;57;21
48;sitio da trindade;53;2;recife;1;20;2;2100;0;3;30;3;4;2;4;6;1;54;0;2;54
49;sitio da trindade;57;2;recife;3;16;4;2000;2;3;30;3;3;4;4;2;1;10;1;1;10
50;sitio da trindade;56;2;recife;2;20;2;2000;0;2;2;5;5;4;5;4;1;47;0;2;47
51;sitio da trindade;53;1;recife;2;20;7;2000;0;3;25;3;4;4;4;21;1;52;0;5;52
52;sitio da trindade;45;1;recife;1;16;2;2000;4;4;30;4;3;5;5;12;1;31;0;3;31
53;sitio da trindade;30;2;recife;3;20;2;2000;3;3;20;5;5;5;5;8;1;63;0;3;63
54;sitio da trindade;20;1;recife;1;20;2;2000;0;3;3;3;3;3;3;24;1;70;0;5;70
55;sitio da trindade;25;1;recife;1;16;2;1800;2;3;12;2;5;5;5;17;1;68;0;4;68
56;sitio da trindade;46;2;recife;2;20;3;1500;3;3;30;3;5;4;3;2;1;62;1;1;62
57;sitio da trindade;46;2;recife;1;12;3;1500;0;3;30;4;4;4;4;67;1;68;1;8;68
58;sitio da trindade;38;2;recife;2;16;7;1500;0;7;8;4;5;2;5;41;1;69;0;6;69
59;sitio da trindade;36;2;recife;3;12;3;1500;4;3;4;5;5;5;5;42;1;66;0;6;66
60;sitio da trindade;27;2;recife;1;20;2;1500;0;3;30;3;5;4;3;63;0;8;1;8;14
61;sitio da trindade;29;2;recife;1;15;2;1400;1;6;30;4;4;4;2;68;0;26;0;26;17
62;sitio da trindade;24;1;recife;1;16;2;1400;1;2;15;4;4;5;5;4;0;1;1;1;14
63;sitio da trindade;28;2;recife;1;15;6;1300;1;3;1;3;3;3;2;44;1;56;0;7;56
64;sitio da trindade;24;2;recife;1;16;2;1300;1;3;3;4;4;4;4;4;1;63;0;2;63
65;sitio da trindade;51;1;recife;2;16;3;1200;2;3;20;4;5;5;4;26;0;25;1;25;19
66;sitio da trindade;31;1;recife;1;16;0;1000;0;3;1;4;5;5;4;67;1;69;1;8;69
67;sitio da trindade;22;1;recife;1;22;3;1000;0;3;2;3;2;2;2;12;1;68;1;3;68
