"";"parque";"idade";"sexo";"cidade";"escolar";"renda";"infraestrutura";"sombra";"temperatura";"lance1";"lance2";"resp1";"resp2";"bidl";"bidh";"lnRendat1";"lnRendat2";"lnRenda"
"1";"sitio da trindade";50;1;"recife";1;62000;0;1;1;31;48;"1";"0";5,56776436283002;48;11,0348896720917;11,0348896765142;4,79239168949825
"2";"sitio da trindade";35;1;"recife";1;17000;0;1;1;4;66;"1";"0";2;66;9,74096863687918;9,74096885141203;4,23044892137827
"3";"sitio da trindade";50;1;"recife";1;16000;1;1;1;9;21;"1";"1";3;21;9,68034403637817;9,68034408325316;4,20411998265592
"4";"sitio da trindade";67;0;"recife";1;15000;0;0;0;45;70;"1";"0";6,70820393249937;70;9,61580568008433;9,61580579119541;4,17609125905568
"5";"sitio da trindade";41;1;"recife";1;15000;0;1;1;2;14;"1";"1";1,4142135623731;14;9,61580548897324;9,61580554230657;4,17609125905568
"6";"sitio da trindade";31;0;"recife";1;15000;1;1;1;29;48;"1";"0";5,3851648071345;48;9,61580560897323;9,61580569341766;4,17609125905568
"7";"sitio da trindade";47;1;"recife";1;13500;0;1;1;10;13;"1";"0";3,16227766016838;13;9,5104450192962;9,51044503575711;4,13033376849501
"8";"sitio da trindade";30;0;"recife";1;13000;1;1;1;41;70;"1";"0";6,40312423743285;70;9,47270487904719;9,47270505064477;4,11394335230684
"9";"sitio da trindade";62;1;"recife";1;12000;0;1;1;4;44;"1";"0";2;44;9,39266195654792;9,39266223432565;4,07918124604762
"10";"sitio da trindade";41;1;"recife";1;11000;0;1;0;17;58;"1";"0";4,12310562561766;58;9,30565069227637;9,30565103111924;4,04139268515822
"11";"sitio da trindade";39;0;"recife";0;11000;0;0;1;3;53;"1";"0";1,73205080756888;53;9,3056505765739;9,30565098979694;4,04139268515822
"12";"sitio da trindade";80;1;"recife";1;10000;0;0;0;45;8;"0";"1";8;60;9,21034082197608;9,21034045197618;4
"13";"sitio da trindade";68;1;"recife";1;10000;0;0;0;69;34;"0";"1";34;26,6904157598234;9,21034106197594;9,21034071197612;4
"14";"sitio da trindade";66;1;"recife";1;10000;0;0;0;61;37;"0";"0";37;32;9,210340981976;9,21034074197611;4
"15";"sitio da trindade";46;1;"recife";1;10000;0;1;1;38;61;"1";"0";6,16441400296898;61;9,21034075197611;9,210340981976;4
"16";"sitio da trindade";40;0;"recife";1;10000;0;1;1;1;55;"1";"0";1;55;9,21034038197618;9,21034092197603;4
"17";"sitio da trindade";38;0;"recife";1;10000;0;0;0;20;28;"1";"0";4,47213595499958;28;9,21034057197616;9,21034065197614;4
"18";"sitio da trindade";34;0;"recife";1;10000;0;1;0;4;24;"1";"0";2;24;9,21034041197618;9,21034061197615;4
"19";"sitio da trindade";61;0;"recife";1;8000;1;1;1;62;10;"0";"0";10;48;8,9871977894115;8,98719697691196;3,90308998699194
"20";"sitio da trindade";59;0;"recife";1;8000;0;1;0;39;69;"1";"0";6,2449979983984;69;8,98719743003679;8,98719789878639;3,90308998699194
