"","ID","parque","cod parque","nquest","idade","sexo","cidade","cod cidade","bairro","cod bairro","estadocivil","racacor","escolar","ocupacao","renda","depend","qdepend","objetivo","distantp","freqvis","tempoestad","tempoatfis","infraestrutura","manutencao","tamanho","sombra","seguranca","iluminacao","ruido","temperatura","qualiar","Influperman","vegetar","vegettemp","vegetruido","vegetinund","moraruido","moratemp","moraqualiar","moraarb","moradren","saudefis","saudemen","nivelstres","exppolatm","exppolson","lance1","resp1","lance2","resp2","bidl","bidh","lnRenda","t1","t2","lnRendat1","lnRendat2","...58"
"1",1,"sitio da trindade",1,"138",50,1,"recife",101,"casa amarela",10121,2,1,20,3,62000,1,2,4,1000,2,60,0,2,2,4,5,2,2,4,4,4,3,4,4,4,4,4,4,2,4,4,4,4,2,4,4,31,1,48,0,5.56776436283002,48,4.79239168949825,-31,-48,11.0348896720917,11.0348896765142,NA
"2",2,"sitio da trindade",1,"145",35,1,"recife",101,"casa forte",10122,2,1,20,3,17000,1,3,4,750,3,120,0,3,2,4,4,2,4,4,4,4,3,4,4,4,4,2,2,4,1,2,2,1,1,2,2,4,1,66,0,2,66,4.23044892137827,-4,-66,9.74096863687918,9.74096885141203,NA
"3",3,"sitio da trindade",1,"173",50,1,"recife",101,"casa forte",10122,2,1,20,2,16000,0,0,3,750,10,60,60,5,5,5,5,3,3,5,5,5,3,4,4,2,1,4,4,5,1,5,3,2,2,3,3,9,1,21,1,3,21,4.20411998265592,-9,-21,9.68034403637817,9.68034408325316,NA
"4",4,"sitio da trindade",1,"72",67,2,"recife",101,"casa amarela",10121,3,1,22,2,15000,0,0,3,250,16,45,45,3,3,2,1,4,3,1,2,2,2,4,4,4,2,4,3,3,4,4,4,4,2,2,0,45,1,70,0,6.70820393249937,70,4.17609125905568,-45,-70,9.61580568008433,9.61580579119541,NA
"5",5,"sitio da trindade",1,"3",41,1,"recife",101,"casa forte",10122,2,1,20,7,15000,1,3,4,750,1,30,0,3,3,4,5,2,1,4,4,4,2,4,4,4,4,3,4,4,4,2,1,2,0,3,1,2,1,14,1,1.4142135623731,14,4.17609125905568,-2,-14,9.61580548897324,9.61580554230657,NA
"6",6,"sitio da trindade",1,"149",31,2,"recife",101,"casa forte",10122,2,1,20,3,15000,1,1,4,1000,1,90,0,5,5,5,5,3,5,5,5,5,3,3,3,3,3,3,4,4,3,3,3,3,3,2,2,29,1,48,0,5.3851648071345,48,4.17609125905568,-29,-48,9.61580560897323,9.61580569341766,NA
"7",7,"sitio da trindade",1,"171",47,1,"recife",101,"casa forte",10122,2,1,26,2,13500,1,1,3,500,8,60,60,2,2,4,4,2,2,4,4,5,0,4,4,4,3,5,5,5,5,2,3,3,1,2,2,10,1,13,0,3.16227766016838,13,4.13033376849501,-10,-13,9.5104450192962,9.51044503575711,NA
"8",8,"sitio da trindade",1,"137",30,2,"recife",101,"casa amarela",10121,1,1,20,3,13000,0,0,3,500,6,90,60,5,5,4,5,3,5,5,5,5,3,4,4,3,3,1,1,4,1,1,3,3,3,4,4,41,1,70,0,6.40312423743285,70,4.11394335230684,-41,-70,9.47270487904719,9.47270505064477,NA
"9",9,"sitio da trindade",1,"11",62,1,"recife",101,"casa forte",10122,2,1,20,3,12000,1,2,2,750,20,60,30,3,2,4,5,2,4,5,5,5,3,4,4,4,4,2,2,3,2,4,4,4,3,2,2,4,1,44,0,2,44,4.07918124604762,-4,-44,9.39266195654792,9.39266223432565,NA
"10",10,"sitio da trindade",1,"164",41,1,"recife",101,"casa forte",10122,2,1,26,2,11000,1,2,4,250,3,60,0,3,3,5,5,2,5,5,2,5,3,4,4,4,4,3,2,5,3,5,4,3,3,4,4,17,1,58,0,4.12310562561766,58,4.04139268515822,-17,-58,9.30565069227637,9.30565103111924,NA
"11",11,"sitio da trindade",1,"131",39,2,"recife",101,"casa forte",10122,1,1,16,2,11000,1,2,4,2000,1,180,0,1,1,4,3,3,3,4,4,4,3,3,4,4,2,2,3,3,3,1,3,3,2,2,2,3,1,53,0,1.73205080756888,53,4.04139268515822,-3,-53,9.3056505765739,9.30565098979694,NA
"12",12,"sitio da trindade",1,"75",80,1,"recife",101,"parnamirim",10160,2,4,22,6,10000,0,0,3,1000,20,30,30,1,2,2,3,4,0,1,3,1,3,4,4,4,4,2,2,1,1,2,3,3,3,1,3,45,0,8,1,8,60,4,-45,-8,9.21034082197608,9.21034045197618,NA
"13",13,"sitio da trindade",1,"79",68,1,"recife",101,"casa forte",10122,2,1,26,1,10000,1,1,3,700,15,60,60,2,2,3,1,2,0,1,1,1,3,4,4,4,0,3,2,3,2,2,2,3,3,4,4,69,0,34,1,34,26.6904157598234,4,-69,-34,9.21034106197594,9.21034071197612,NA
"14",14,"sitio da trindade",1,"84",66,1,"recife",101,"madalena",10154,2,1,22,3,10000,1,3,3,3500,4,60,60,3,3,1,2,2,0,2,2,2,0,4,4,4,1,1,2,2,2,4,4,3,3,3,3,61,0,37,0,37,32,4,-61,-37,9.210340981976,9.21034074197611,NA
"15",15,"sitio da trindade",1,"132",46,1,"recife",101,"casa amarela",10121,2,1,20,3,10000,1,1,2,1500,4,180,0,3,3,5,5,3,3,5,5,5,3,4,4,4,0,3,3,4,3,3,2,4,3,2,1,38,1,61,0,6.16441400296898,61,4,-38,-61,9.21034075197611,9.210340981976,NA
"16",16,"sitio da trindade",1,"135",40,2,"recife",101,"espinheiro",10137,2,1,20,4,10000,1,1,4,3000,1,120,0,3,3,4,5,2,3,5,4,5,3,4,4,4,4,4,4,4,4,3,2,4,4,0,2,1,1,55,0,1,55,4,-1,-55,9.21034038197618,9.21034092197603,NA
"17",17,"sitio da trindade",1,"143",38,2,"recife",101,"casa amarela",10121,2,1,20,3,10000,1,2,4,750,3,180,0,3,2,2,2,2,1,4,2,4,2,4,4,0,0,4,4,5,5,2,4,2,2,2,2,20,1,28,0,4.47213595499958,28,4,-20,-28,9.21034057197616,9.21034065197614,NA
"18",18,"sitio da trindade",1,"159",34,2,"recife",101,"casa amarela",10121,2,1,20,3,10000,1,3,4,500,2,60,0,3,3,3,5,3,3,5,3,5,2,4,4,2,0,5,5,5,3,3,3,1,1,3,3,4,1,24,0,2,24,4,-4,-24,9.21034041197618,9.21034061197615,NA
"19",19,"sitio da trindade",1,"175",61,2,"recife",101,"casa forte",10122,2,1,20,3,8000,0,0,3,250,10,60,40,5,5,5,5,5,1,5,5,5,3,4,4,2,2,5,5,5,5,5,3,3,3,3,3,62,0,10,0,10,48,3.90308998699194,-62,-10,8.9871977894115,8.98719697691196,NA
"20",20,"sitio da trindade",1,"162",59,2,"recife",101,"casa forte",10122,2,1,20,4,8000,1,1,3,500,20,60,60,2,2,3,5,1,2,5,2,5,2,4,4,4,4,5,5,5,3,5,3,4,4,4,4,39,1,69,0,6.2449979983984,69,3.90308998699194,-39,-69,8.98719743003679,8.98719789878639,NA
"21",21,"sitio da trindade",1,"158",49,1,"recife",101,"casa amarela",10121,2,1,22,3,8000,1,1,3,500,10,90,90,4,4,5,5,2,2,4,4,5,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,1,10,1,1.73205080756888,10,3.90308998699194,-3,-10,8.98719686753697,8.98719697691196,NA
"22",22,"sitio da trindade",1,"5",39,1,"recife",101,"casa forte",10122,2,1,20,3,8000,1,2,2,750,10,60,30,3,2,4,5,2,4,5,5,5,3,4,4,4,4,2,2,3,2,4,4,4,3,2,2,59,1,70,0,7.68114574786861,70,3.90308998699194,-59,-70,8.98719774253655,8.98719791441138,NA
"23",23,"sitio da trindade",1,"142",36,1,"recife",101,"casa amarela",10121,2,1,20,2,7500,1,1,4,250,2,60,0,4,2,5,5,2,2,5,5,5,3,3,3,1,1,4,4,5,2,2,4,4,3,4,4,36,1,65,0,6,65,3.8750612633917,-36,-65,8.9226589395242,8.92265945507929,NA
"24",24,"sitio da trindade",1,"10",35,1,"recife",101,"casa amarela",10121,2,2,20,2,7000,1,2,3,900,7,90,60,3,2,4,5,3,4,5,5,5,3,4,4,4,4,1,2,2,2,2,4,4,3,2,2,2,1,66,0,1.4142135623731,66,3.84509804001426,-2,-66,8.85366546885378,8.85366677497532,NA
"25",25,"sitio da trindade",1,"165",33,2,"recife",101,"casa forte",10122,3,1,20,2,7000,1,2,3,500,10,60,60,3,3,3,4,3,3,4,3,3,3,4,4,4,2,4,4,4,3,4,4,4,4,4,4,28,1,61,0,5.29150262212918,61,3.84509804001426,-28,-61,8.85366599946586,8.85366667293463,NA
"26",26,"sitio da trindade",1,"9",33,1,"recife",101,"casa amarela",10121,1,2,20,3,6500,1,1,3,1000,9,60,40,3,2,5,5,3,3,5,5,4,3,4,4,4,4,1,1,2,2,2,4,4,3,2,2,43,1,64,1,6.557438524302,64,3.81291335664285,-43,-64,8.77955847363469,8.77955897067548,NA
"27",27,"sitio da trindade",1,"147",39,1,"recife",101,"casa amarela",10121,3,1,20,3,6000,0,0,3,1500,10,120,40,2,2,4,4,2,2,5,5,4,3,4,4,4,2,3,3,3,2,1,4,4,4,4,4,3,1,34,0,1.73205080756888,34,3.77815125038364,-3,-34,8.69951483154352,8.69951569265419,NA
"28",28,"sitio da trindade",1,"82",33,1,"recife",101,"afogados",1012,1,1,22,1,6000,0,0,3,5000,10,10,10,3,3,2,1,3,0,2,2,2,3,4,4,4,2,4,4,3,4,4,4,4,2,0,1,47,1,50,0,6.85565460040104,50,3.77815125038364,-47,-50,8.6995160537649,8.69951613709812,NA
"29",29,"sitio da trindade",1,"152",39,2,"recife",101,"casa amarela",10121,1,1,20,2,5000,0,0,3,1000,20,60,40,3,3,4,4,1,3,3,3,5,3,3,3,3,3,4,2,2,3,4,3,3,3,3,3,39,1,70,0,6.2449979983984,70,3.69897000433602,-39,-70,8.51719475141502,8.51719599141232,NA
"30",30,"sitio da trindade",1,"8",30,1,"recife",101,"casa amarela",10121,2,2,20,3,5000,1,1,3,750,8,90,60,3,2,5,5,2,4,5,5,5,3,4,4,4,4,1,1,2,2,2,4,4,2,2,2,8,1,13,1,2.82842712474619,13,3.69897000433602,-8,-13,8.51719351141619,8.5171937114161,NA
"31",31,"sitio da trindade",1,"203",35,1,"jaboatao",111,"cavaleiro",1114,1,4,16,5,4500,1,1,2,5000,5,30,0,4,3,4,3,3,3,3,3,4,3,0,4,4,0,3,2,4,2,2,4,4,3,2,2,68,0,51,0,51,14.3166247903554,3.65321251377534,-68,-51,8.41183603377746,8.41183519427376,NA
"32",32,"sitio da trindade",1,"191",33,2,"recife",101,"tamarineira",10173,2,2,20,2,4491,1,1,2,1500,5,120,0,4,3,4,4,5,5,5,5,5,3,4,4,4,0,5,4,4,5,4,2,1,0,4,4,10,1,15,1,3.16227766016838,15,3.65234305506271,-10,-15,8.40983116889603,8.40983141680008,NA
"33",33,"sitio da trindade",1,"155",50,1,"recife",101,"casa amarela",10121,2,1,20,3,4000,1,1,3,250,7,120,0,4,3,5,5,5,4,4,3,3,2,4,4,4,4,2,2,2,3,4,4,4,4,2,2,21,1,61,0,4.58257569495584,61,3.60205999132796,-21,-61,8.29405095260117,8.29405345259476,NA
"34",34,"sitio da trindade",1,"146",30,2,"recife",101,"casa amarela",10121,2,1,20,2,4000,0,0,3,1500,4,120,60,5,5,3,5,2,5,5,4,5,3,4,4,4,4,1,2,2,2,1,3,2,2,1,1,16,1,41,0,4,41,3.60205999132796,-16,-41,8.29405064010153,8.29405220259874,NA
"35",35,"sitio da trindade",1,"189",40,1,"recife",101,"casa amarela",10121,2,4,20,1,3992,1,3,4,500,15,20,0,2,1,4,4,2,3,4,4,4,3,4,4,4,4,3,4,4,4,2,3,3,3,2,2,20,0,7,0,7,17,3.60119053261533,-20,-7,8.29204889244561,8.29204807668652,NA
"36",36,"sitio da trindade",1,"7",28,1,"recife",101,"casa amarela",10121,2,2,20,3,3500,1,1,3,750,9,60,30,3,2,4,5,2,3,5,4,5,3,4,4,4,4,1,1,2,2,2,4,4,3,2,2,13,1,42,0,3.60555127546399,42,3.54406804435028,-13,-42,8.16051930870143,8.16052167604306,NA
"37",37,"sitio da trindade",1,"154",62,1,"recife",101,"casa amarela",10121,3,1,16,3,3000,1,1,4,750,20,120,30,3,5,5,5,5,5,3,5,5,3,4,4,4,4,5,3,5,3,4,3,3,4,4,4,5,1,45,0,2.23606797749979,45,3.47712125471966,-5,-45,8.00636812320565,8.00637256763775,NA
"38",38,"sitio da trindade",1,"81",41,2,"recife",101,"casa amarela",10121,2,1,15,2,3000,1,1,3,750,15,180,180,1,1,1,1,1,2,1,2,1,3,4,4,4,2,3,3,2,2,2,2,3,2,3,3,14,1,26,1,3.74165738677394,26,3.47712125471966,-14,-26,8.00636912320459,8.00637045653496,NA
"39",39,"sitio da trindade",1,"166",37,2,"recife",101,"casa amarela",10121,2,1,20,2,3000,0,0,3,2000,15,120,60,5,5,5,5,3,5,3,5,5,3,4,4,4,4,4,2,4,2,2,4,3,3,4,4,27,1,69,0,5.19615242270663,69,3.47712125471966,-27,-69,8.00637056764575,8.00637523428752,NA
"40",40,"sitio da trindade",1,"133",36,2,"recife",101,"jaqueira",10147,1,1,20,2,3000,1,1,4,600,1,30,30,3,3,5,4,4,4,4,4,5,3,4,4,4,4,4,4,4,5,3,2,4,4,4,3,8,1,46,0,2.82842712474619,46,3.47712125471966,-8,-46,8.00636845653874,8.0063726787483,NA
